id,firstname,lastname,gender,birthday,status,salary,department,hourlyrate,maritalstatus,overtime
1,Kimberley,Kuhic,F,15/5/90,,110182.0,Sales,40.0,Single,Yes
1,Kitty,Ruecker,F,24/7/76,PE,90613.0,Sales,76.0,Married,No
5,Jamal,Cole,M,31/1/83,PE,109251.0,Research & Development,89.0,Single,Yes
5,Christopher,D'Amore,F,16/3/74,PE,103614.0,Sales,78.0,Married,No
5,Carly,Ratke,M,16/1/98,PE,88315.0,Research & Development,86.0,Single,Yes
8,Alvy,Beahan,U,5/8/93,PE,66519.0,Sales,77.0,Divorced,No
8,Paola,Kilback,F,9/11/81,PE,61536.0,Human Resources,46.0,Divorced,No
10,Pate,Weber,F,3/1/92,PE,71722.0,Research & Development,30.0,Married,Yes
10,Saige,Casper,M,3/8/90,,61597.0,Research & Development,82.0,Married,No
11,Buna,Connelly,M,1/1/90,PE,148038.0,Sales,78.0,Married,Yes
12,Javion,Moore,M,13/2/76,,137513.0,Research & Development,38.0,Single,No
12,Ursula,Wintheiser,M,26/11/99,,135046.0,Research & Development,72.0,Divorced,No
12,Alesia,Hirthe,M,21/4/79,PE,126664.0,Sales,55.0,Single,No
12,Efrain,Harber,U,26/1/95,,57029.0,Research & Development,43.0,Married,No
19,Jalen,Considine,F,9/12/87,,110155.0,Research & Development,67.0,Married,No
21,Ezequiel,Baumbach,M,19/12/92,PE,131575.0,Research & Development,96.0,Married,No
21,Elaine,Barrows,M,8/6/83,PE,59553.0,Research & Development,69.0,Single,Yes
22,Rashawn,Wyman,M,6/5/95,,56155.0,Research & Development,64.0,Single,No
24,Ariella,Runte,F,26/12/93,PE,107325.0,Research & Development,87.0,Divorced,No
24,Abbott,Rippin,F,11/3/84,PE,93348.0,Research & Development,100.0,Single,No
26,Albertus,Bernier,U,6/1/89,PE,101017.0,Research & Development,32.0,Married,No
31,Syreeta,Altenwerth,M,28/8/99,PE,117554.0,Research & Development,32.0,Single,No
31,Teddy,Rath,M,17/2/90,PE,109005.0,Sales,51.0,Married,No
31,Jory,Waters,U,5/10/70,,80945.0,Research & Development,91.0,Single,No
33,Brittnay,Yundt,U,30/9/84,PE,70648.0,Research & Development,97.0,Single,No
34,Aimee,Sauer,M,18/11/92,CA,125785.0,Research & Development,86.0,Single,No
34,Danyel,Considine,F,5/5/73,PE,61059.0,Sales,64.0,Married,Yes
35,Virgia,Feil,U,19/9/87,TE,59488.0,Research & Development,33.0,Single,No
36,Lukas,Kunze,U,29/9/96,TE,139432.0,Research & Development,88.0,Single,Yes
36,Einar,Beier,F,6/9/71,,113541.0,Sales,55.0,Married,Yes
36,Ardell,Von,M,3/3/89,CA,110429.0,Research & Development,68.0,Married,No
36,Callie,Lesch,M,4/10/92,,66278.0,Research & Development,47.0,Married,No
37,Jolette,Marks,M,12/10/77,,132173.0,Research & Development,39.0,Married,No
38,Duke,Krajcik,M,29/9/77,PE,136383.0,Research & Development,44.0,Single,No
39,Gilda,Gerlach,F,25/6/87,PE,58922.0,Research & Development,97.0,Married,No
41,Gladyce,Kovacek,F,24/5/93,PE,110498.0,Research & Development,40.0,Married,Yes
43,Montel,Kunde,F,29/7/96,CA,105292.0,Sales,47.0,Married,No
45,Tilman,Welch,F,24/5/73,PE,114153.0,Research & Development,79.0,Married,Yes
45,Manilla,Daniel,M,6/7/80,,89318.0,Human Resources,38.0,Single,Yes
46,Nevada,Kunde,F,10/5/86,PE,112824.0,Research & Development,67.0,Divorced,No
46,Tyrese,Eichmann,F,18/7/82,,81777.0,Research & Development,67.0,Divorced,Yes
47,Deasia,Herzog,M,15/8/72,CA,102541.0,Research & Development,67.0,Divorced,No
48,Ruffin,Medhurst,M,13/11/94,PE,67369.0,Sales,98.0,Married,No
49,Jordyn,Connelly,F,10/11/90,PE,124399.0,Research & Development,67.0,Married,No
50,Lavada,Schmidt,M,15/5/87,,101898.0,Sales,70.0,Single,Yes
51,Fleda,Botsford,M,14/1/89,PE,77949.0,Sales,96.0,Divorced,No
51,Berkley,Nader,M,5/1/82,PE,69904.0,Research & Development,91.0,Married,No
54,Keandre,Herzog,M,27/6/91,PE,133885.0,Sales,46.0,Married,No
54,Clovis,Romaguera,F,14/3/92,PE,94327.0,Sales,64.0,Married,No
56,Seth,Rippin,M,11/4/76,PE,148561.0,Human Resources,71.0,Married,No
57,Jamin,Gerhold,M,9/8/96,PE,114066.0,Research & Development,68.0,Single,No
57,Shelli,Hettinger,U,18/9/76,PE,95690.0,Sales,33.0,Married,No
